Object ID,Animal,Subregion,Layer,Stub,Tile,Den_Length_um,Den_Width_um,Den_Area_um_sq,Dendrite_ID,Mito_IDs,Mean_mito_area,Mito_total_area,Mito_total_len,N_mitos,Total_mito_area_per_den_area,Total_mito_len_per_den_len
3,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-005.tif,1.930696,1.0081200000000001,1.2569599999999999,3,['2'],0.253952,0.253952,0.6787540000000001,1,0.20203665987780045,0.351559230453681
5,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-005.tif,1.21795,0.936876,0.734656,5,['17'],0.101376,0.101376,0.41299,1,0.13799111420855475,0.3390861693829796
8,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-005.tif,1.83668,0.784858,1.012352,8,['15'],0.12659199999999998,0.12659199999999998,0.466274,1,0.12504741433809582,0.25386784850926675
16,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-005.tif,2.0280080000000003,1.276216,1.356352,16,['1'],0.19424,0.19424,0.610364,1,0.14320766290756382,0.3009672545670431
26,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-005.tif,1.587462,0.817356,0.866752,26,['25'],0.38873599999999997,0.38873599999999997,0.7458060000000001,1,0.44849737871963374,0.4698103009709839
4,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-001.tif,1.394854,0.8785499999999999,0.816576,4,"['5', '9']",0.116576,0.233152,0.913294,2,0.28552394388274943,0.6547595662341722
7,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-001.tif,1.373056,0.8232720000000001,0.8140799999999999,7,['2'],0.593152,0.593152,1.119542,1,0.728616352201258,0.8153651416985177
10,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-001.tif,7.114578000000001,0.70011,3.4597759999999997,10,['31'],0.09644799999999999,0.09644799999999999,0.393024,1,0.02787694925914279,0.05524206776564962
13,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-001.tif,1.81972,0.837666,1.039872,13,['1'],0.290112,0.290112,0.806772,1,0.27898818316100443,0.4433495263007496
27,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q1_Tile_001-001.tif,1.040664,0.629804,0.465344,27,['32'],0.070528,0.070528,0.383416,1,0.1515609957364874,0.36843399983087716
2,MCC270,CA2,Basal,Stub 4 dot,Farris 270-B Stub 4 dot Basal_Q4_Tile_007-003.tif,1.4773560000000001,1.1033119999999998,1.16832,2,['6'],0.076736,0.076736,0.373894,1,0.06568063544234456,0.25308321081716256
3,MCC270,CA2,Basal,Stub 4 dot,Farris 270-B Stub 4 dot Basal_Q4_Tile_007-003.tif,2.4868159999999997,0.883676,1.6237439999999999,3,['7'],0.113216,0.113216,0.445892,1,0.06972527689093848,0.17930236897301613
9,MCC270,CA2,Basal,Stub 4 dot,Farris 270-B Stub 4 dot Basal_Q4_Tile_007-003.tif,1.4626620000000001,1.082336,1.0724479999999998,9,['1'],0.294272,0.294272,0.734084,1,0.2743927910723877,0.5018821846742446
10,MCC270,CA2,Basal,Stub 4 dot,Farris 270-B Stub 4 dot Basal_Q4_Tile_007-003.tif,2.866782,1.27986,2.428352,10,"['8', '11', '19', '25']",0.126944,0.507776,2.066166,4,0.2091031283767757,0.7207265847211263
